WKT,id,nombre,direccion,materiales,mas_info,dia_hora,tipo,cooperativ,calle,altura,calle2,barrio,comuna
"POINT (-58.4447765395503 -34.5809404325573)",PV-077,PLAZA MAFALDA,"DUMONT, SANTOS y MARTINEZ, ENRIQUE GRAL.",RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Trabajo Amanecer de los Cartoneros,"DUMONT, SANTOS",,"MARTINEZ, ENRIQUE GRAL.",COLEGIALES,COMUNA 13
"POINT (-58.4039729161498 -34.5768692458954)",PV-082,PLAZA REPÚBLICA DE PERÚ,FIGUEROA ALCORTA PRES. AV. 3400,RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Provisión de Servicios para Recolectores el Ceibo,FIGUEROA ALCORTA PRES. AV.,"3400",,PALERMO,COMUNA 14
"POINT (-58.3819510762102 -34.6265847826438)",PV-003,PLAZA CONSTITUCION,"LIMA y GARAY, JUAN DE AV.",RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Sin Atención,Cooperativa de Trabajo Amanecer de los Cartoneros,LIMA,,JUAN DE GARAY AV.,CONSTITUCION,COMUNA 1
"POINT (-58.4160833225284 -34.6519843159488)",PV-013,PLAZA NUEVA POMPEYA,SAENZ AV. y TRAFUL,RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Trabajo Reciclando Trabajo y Dignidad,SAENZ AV.,,TRAFUL,POMPEYA,COMUNA 4
"POINT (-58.3669041746019 -34.6398484380565)",PV-020,PLAZA MATHEU,"ARAOZ DE LA MADRID, GREGORIO, GRAL. 1050",RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Sin Atención,Cooperativa de Trabajo Recuperador Urbano el Trebol,"ARAOZ DE LAMADRID, GREGORIO, GRAL.","1050",,LA BOCA,COMUNA 4
"POINT (-58.3994337259507 -34.6399001965808)",PV-017,PLAZA GUILLERMO Y ALFREDO BARBIERI,LOS PATOS Y LUNA,RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Sin Atención,Cooperativa de Trabajo Reciclando Trabajo y Dignidad,LOS PATOS,,LUNA,PARQUE PATRICIOS,COMUNA 4
"POINT (-58.4553335892151 -34.6327398182351)",PV-034,PLAZA DE LA MISERICORDIA,"LAUTARO y BILBAO, FRANCISCO",RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor / Organicos (jueves),"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Trabajo de Recuperadores Urbanos del Oeste,LAUTARO,,"BILBAO, FRANCISCO",FLORES,COMUNA 7
"POINT (-58.4637731979512 -34.6346985322704)",PV-035,PLAZA 11 DE NOVIEMBRE,DIRECTORIO AV. e ITALIA,RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Trabajo de Recuperadores Urbanos del Oeste,DIRECTORIO AV.,,ITALIA,FLORES,COMUNA 7
"POINT (-58.4767185236961 -34.6774380392307)",PV-039,ESTACION LUGANO,"GALLO, DELFIN y LEGUIZAMON, MARTINIANO",RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico).",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Trabajo Baires Cero,"GALLO, DELFIN",,"LEGUIZAMON, MARTINIANO",LUGANO,COMUNA 8
"POINT (-58.4657264405381 -34.683532839483)",PV-040,LUGANO 1 Y 2,"OLASCOAGA, MANUEL JOSE CNEL. y SOLDADO DE LA FRONTERA AV.",RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Trabajo Baires Cero,"OLASCOAGA, MANUEL JOSE CNEL.",,SOLDADO DE LA FRONTERA AV.,LUGANO,COMUNA 8
